Company Name,Funder,Donation Amount,Year,"Type of Donations: (gift, sponsored projects...) ",Columbia school?,Which Specific Columbia Program?,Source,Notes
African Oil Company,African Oil Company,"25,000.00",2015,,SIPA,,https://issuu.com/columbiauniversitysipa/docs/sipa_annual_report_2014_2015,
American Gas Association,American Gas Association,"100,000.00",2017,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/display_990/130431590/01_2019_prefixes_01-20%2F130431590_201712_990O_2019012916041404,
American Gas Association,American Gas Association,"100,000.00",2018,,SIPA,,https://web.archive.org/web/20191224033634/https://sipa.columbia.edu/sites/default/files/SIPA-Annual-Report-2017-2018.pdf,
Aramco,Aramco Services Company,"100,000.00",2018,,SIPA,,https://web.archive.org/web/20191224033634/https://sipa.columbia.edu/sites/default/files/SIPA-Annual-Report-2017-2018.pdf,
Aramco,Aramco Services Company,"125,000.00",2019,,SIPA,CGEP,https://web.archive.org/web/20190415230731/https://energypolicy.columbia.edu/about/mission,"annual commitment of 200,000 or aggregate committment of 500,000 from 2019-2022. Chose 500,000 total for the 4 years as lower bound (125,000/yr)"
Aramco,Aramco Services Company,"125,000.00",2020,,SIPA,CGEP,https://web.archive.org/web/20201001210441/https://www.energypolicy.columbia.edu/about/partners,"annual commitment of 200,000 or aggregate committment of 500,000 from 2019-2022. Chose 500,000 total for the 4 years as lower bound (125,000/yr)"
Aramco,Aramco Services Company,"125,000.00",2021,,SIPA,CGEP,https://web.archive.org/web/20210604103628/https://www.energypolicy.columbia.edu/about/partners,"annual commitment of 200,000 or aggregate committment of 500,000 from 2019-2022. Chose 500,000 total for the 4 years as lower bound (125,000/yr)"
Aramco,Aramco Services Company,"125,000.00",2022,,SIPA,CGEP,https://web.archive.org/web/20220831234051/https://www.energypolicy.columbia.edu/partners,"annual commitment of 200,000 or aggregate committment of 500,000 from 2019-2022. Chose 500,000 total for the 4 years as lower bound (125,000/yr)"
Aramco,Aramco Services Company,"250,000.00",2023,,SIPA,CGEP,https://web.archive.org/web/20231005152943/https://www.energypolicy.columbia.edu/about-us/our-partners/,"annual commitment of $250,000 or more."
Aramco,Aramco Services Company,"250,000.00",2024,,SIPA,CGEP,https://web.archive.org/web/20240801004845/https://www.energypolicy.columbia.edu/about-us/our-partners/,"annual commitment of $250,000 or more."
Bechtel,Bechtel Group Foundation,"1,000.00",2006,,Barnard College,,https://projects.propublica.org/nonprofits/display_990/946078120/2007_05_PF%2F94-6078120_990PF_200612,
Bechtel,Bechtel Group Foundation,250.00,2020,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/display_990/946078120/download990pdf_10_2022_prefixes_91-95%2F946078120_202012_990PF_2022102620577640,
BP,BP,"125,000.00",2019,,SIPA,CGEP,https://web.archive.org/web/20190415230731/https://energypolicy.columbia.edu/about/mission,"annual commitment of 200,000 or aggregate committment of 500,000 from 2019-2022. Chose 500,000 total for the 4 years as lower bound (125,000/yr)"
BP,BP,"125,000.00",2020,,SIPA,CGEP,https://web.archive.org/web/20201001210441/https://www.energypolicy.columbia.edu/about/partners,"annual commitment of 200,000 or aggregate committment of 500,000 from 2019-2022. Chose 500,000 total for the 4 years as lower bound (125,000/yr)"
BP,BP,"125,000.00",2021,,SIPA,CGEP,https://web.archive.org/web/20210604103628/https://www.energypolicy.columbia.edu/about/partners,"annual commitment of 200,000 or aggregate committment of 500,000 from 2019-2022. Chose 500,000 total for the 4 years as lower bound (125,000/yr)"
BP,BP,"125,000.00",2022,,SIPA,CGEP,https://web.archive.org/web/20220831234051/https://www.energypolicy.columbia.edu/partners,"annual commitment of 200,000 or aggregate committment of 500,000 from 2019-2022. Chose 500,000 total for the 4 years as lower bound (125,000/yr)"
