Funder,Donation Amount,Year,"Type of Donations: (gift, sponsored projects...)",Columbia school,Columbia Affiliates,Which Specific Columbia Program?,Source,Specific Study DOI,Notes,Author Full Names,Article Title,Source Title,Affiliations,Funding Text,ISSN
"National Social Science Fund; Clean Energy Branch of Huaneng International Power Jiangsu Energy Development Co., Ltd.; Postgraduate Research & Practice Innovation Program of Jiangsu Province",,2022,,,,,0,10.3390/en15103650,,"Cao, Zijing; Zhang, Huiming; Hang, Zixuan; Zhou, Dequn; Jing, Buhang",Does the Responsibility System for Environmental Protection Targets Enhance Corporate High-Quality Development in China?,ENERGIES,Nanjing University of Information Science & Technology; Nanjing University of Information Science & Technology; Nanjing University of Aeronautics & Astronautics; Nanjing University of Aeronautics & Astronautics; Columbia University,"This work was supported by the National Social Science Fund [no. 19BGL185], Clean Energy Branch of Huaneng International Power Jiangsu Energy Development Co., Ltd. [no. HN-49A0-202100016-PWQT00015], and Postgraduate Research & Practice Innovation Program of Jiangsu Province [no. KYCX21_1038].",
Department of Energy as part of the University Coal Research Program,,2013,,,,,0,10.1016/j.actamat.2013.06.001,,"Donegan, S. P.; Tucker, J. C.; Rollett, A. D.; Barmak, K.; Groeber, M.",Extreme value analysis of tail departure from log-normality in experimental and simulated grain size distributions,ACTA MATERIALIA,Carnegie Mellon University; Columbia University; United States Department of Defense; United States Air Force; US Air Force Research Laboratory,This work was primarily supported by Grant Number DE-FE0003840 from the Department of Energy as part of the University Coal Research Program. Seth Wilson is thanked for the provision of the Potts model data.,1359-6454
Fundamental Research Funds for the Central Universities of China(Fundamental Research Funds for the Central Universities); Scientific Research Foundation of State Key Lab of Coal Mine Disaster Dynamics and Control; National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC)),,2015,,,,,0,10.1142/S0217979215501854,,"Li, Qibin; Tang, Qizhong; Peng, Tiefeng; Zhang, Xiaomin; Liu, Chao; Ski, Xiaoyang",Molecular characteristics of H2O in hydrate/ice/liquid water mixture,INTERNATIONAL JOURNAL OF MODERN PHYSICS B,Chongqing University; Chongqing University; Chongqing University; Chongqing University; Columbia University,"This work is supported by the Fundamental Research Funds for the Central Universities of China (Grant Nos. 0903005203237 and CDJZR13240022), Scientific Research Foundation of State Key Lab of Coal Mine Disaster Dynamics and Control (2011DA105287-KF201309) and National Natural Science Foundation of China, (Grant No. 51506013).",0217-9792
"Singapore Ministry of Education(Ministry of Education, Singapore); Foundation of State Key Laboratory of Coal Conversion; National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC))",,2019,,,,,0,10.1016/j.joule.2019.03.012,,"Tao, Hua Bing; Xu, Yinghua; Huang, Xiang; Chen, Jiazang; Pei, Linjuan; Zhang, Junming; Chen, Jingguang G.; Liu, Bin",A General Method to Probe Oxygen Evolution Intermediates at Operating Conditions,JOULE,"Nanyang Technological University; Columbia University; Zhejiang University of Technology; Chinese Academy of Sciences; Institute of Coal Chemistry, CAS; Southern University of Science & Technology","This work was supported by the fund from the Singapore Ministry of Education Academic Research Fund (AcRF) Tier 1: RG115/18, RG115/17, and RG9/17, Tier 2: MOE2016-T2-2-004. H.B.T. and J.C. would like to thank the support from the Foundation of State Key Laboratory of Coal Conversion (grant no. J19-20-913-2). J.C. acknowledges National Natural Science Foundation of China (grant nos. 91545116 and 21773285). Y.X. thanks the support from National Natural Science Foundation of China (21576238).",2542-4351
Open Project Program of the State Key Laboratory of High-efficiency Utilization of Coal and Green Chemical Engineering; Qinglan Project of Kunming University of Science and Technology; Youth Top Talent Program of Yunnan Province; Key International Cooperation Project of Yunnan Provincial Science and Technology Department,,2021,,,,,0,10.1016/j.apcatb.2021.120033,,"Deng, Guixian; Zhang, Guifang; Zhu, Xing; Guo, Qingjie; Liao, Xiangbiao; Chen, Xi; Li, Kongzhai",Optimized Ni-based catalysts for methane reforming with O2-containing CO2,APPLIED CATALYSIS B-ENVIRONMENTAL,Kunming University of Science & Technology; Ningxia University; Columbia University,"This work was supported by the Open Project Program of the State Key Laboratory of High-efficiency Utilization of Coal and Green Chemical Engineering (No. 2020-KF-25), the Qinglan Project of Kunming University of Science and Technology, the Youth Top Talent Program of Yunnan Province, and the Key International Cooperation Project of Yunnan Provincial Science and Technology Department (No. 2018IA055).",0926-3373
National Key RAMP;D Program of China; Foundation of State Key Laboratory of Coal Combustion; Double firstclass research funding of ChinaEU Institute for Clean and Renewable Energy; Harvard Global Institute,,2021,,,,,0,10.1016/j.energy.2021.119946,,"Chen, Yingqi; Ba, Shusong; Yang, Qing; Yuan, Tian; Zhao, Haibo; Zhou, Ming; Bartocci, Pietro; Fantozzi, Francesco",Ef fi ciency of China ? s carbon market: A case study of Hubei pilot market,ENERGY,Huazhong University of Science & Technology; Huazhong University of Science & Technology; Columbia University; Peking University; Huazhong University of Science & Technology; Harvard University; University of Perugia,"This work was supported by National Key R&D Program of China (2019YFE0100100) , the Foundation of State Key Laboratory of Coal Combustion (No.FSKLCCA1902) , and the Double firstclass research funding of ChinaEU Institute for Clean and Renewable Energy (No.3011120016) . We also would like to thank HarvardChina Projects on Energy, Economy and Environment for useful comments, suggestions and help on language polishment, and an award from the Harvard Global Institute to the HarvardChina Projects on Energy, Economy and Environment.",0360-5442
"School of Chemical Engineering, Northwest University, Shaanxi Coal Geology Group Co., Ltd.; Special Funds for Scientific and Technological Innovation of State-Owned Capital Operation Budget in Shaanxi Province; Natural Science Basic Research Program of Shaanxi; Key Research and Development Program of Shaanxi",,2023,,,,,0,10.1021/acsomega.2c08143,,"Wang, Chenghua; Huang, Huiyu; Sun, Xueyan; Deng, Xiaobin; Lei, Yuan; Hao, Wenbing; Liu, Yilun; Chen, Xi; Zhao, Wei",Strategy of Electrolyte Design: Triethanolamine as a Polydentate Ligand to Improve Solvation of Zinc in Zinc-Air Batteries,ACS OMEGA,Northwest University Xi'an; Xi'an Jiaotong University; Columbia University,"This work was supported from the School of Chemical Engineering, Northwest University, Shaanxi Coal Geology Group Co., Ltd. and Special Funds for Scientific and Technological Innovation of State-Owned Capital Operation Budget in Shaanxi Province. Support from the Natural Science Basic Research Program of Shaanxi (program no. 2023-JC-YB-046) and The Key Research and Development Program of Shaanxi (program no. 2022-LL-QYLH-00X) .",2470-1343
National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC)); Key R&D Program of Shaanxi Province; Shaanxi Natural Science Fundamental Shaanxi Coal Chemical Joint Fund; Fundamental Research Funds for the Central Universities(Fundamental Research Funds for the Central Universities); Innovation Capability Support Program of Shaanxi; K.C. Wong Education Foundation,,2020,,,,,0,10.1039/c9cy02347j,,"Zhu, Qing; Jiang, Zeyu; Ma, Mudi; He, Chi; Yu, Yanke; Liu, Xiaohe; Albilali, Reem",Revealing the unexpected promotion effect of diverse potassium precursors on α-MnO2 for the catalytic destruction of toluene,CATALYSIS SCIENCE & TECHNOLOGY,"Xi'an Jiaotong University; Chinese Academy of Sciences; University of Chinese Academy of Sciences, CAS; Columbia University; Imam Abdulrahman Bin Faisal University","This work was financially supported by the National Natural Science Foundation of China (21677114, 21876139, 21922606), the Key R&D Program of Shaanxi Province (2019SF-244, 2019ZDLSF05-05-02), the Shaanxi Natural Science Fundamental Shaanxi Coal Chemical Joint Fund (2019JLM-14), the Fundamental Research Funds for the Central Universities (xjj2017170), and the Innovation Capability Support Program of Shaanxi (2018PT-28, 2017KTPT-04). The authors gratefully acknowledge the support of K.C. Wong Education Foundation and also appreciate the editor and reviewers for their professional work and valuable comments.",2044-4753
National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC)); Key R&D Program of Shaanxi Province; Shaanxi Natural Science Fundamental Shaanxi Coal Chemical Joint Fund; National Key R&D Program of China; Fundamental Research Funds for the Central Universities(Fundamental Research Funds for the Central Universities); K.C. Wong Education Foundation,,2020,,,,,0,10.1016/j.jhazmat.2019.121143,,"Feng, Xiangbo; Chen, Changwei; He, Chi; Chai, Shouning; Yu, Yanke; Cheng, Jie",Non-thermal plasma coupled with MOF-74 derived Mn-Co-Ni-O porous composite oxide for toluene efficient degradation,JOURNAL OF HAZARDOUS MATERIALS,"Xijing University; Xi'an Jiaotong University; Chinese Academy of Sciences; University of Chinese Academy of Sciences, CAS; Columbia University; Chongqing University of Science & Technology","This work was financially supported by the National Natural Science Foundation of China (21677114, 21876139, 21922606), the Key R&D Program of Shaanxi Province (2019SF-244, 2019ZDLSF05-05-02), Shaanxi Natural Science Fundamental Shaanxi Coal Chemical Joint Fund (2019JLM-14), the National Key R&D Program of China (2016YFC0204201), and the Fundamental Research Funds for the Central Universities (xjj2017170). The author gratefully acknowledges the support of K.C. Wong Education Foundation and also appreciates the editor and reviewers for their professional work and valuable comments.",0304-3894
"Singapore Ministry of Education Academic Research Fund (AcRF)(Ministry of Education, Singapore); Foundation of State Key Laboratory of Coal Conversion; Nanyang Technological University internal fund(Nanyang Technological University); National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC)); US Department of Energy, Basic Energy Science, Catalysis Program(United States Department of Energy (DOE))",,2019,,,,,0,10.1021/jacs.9b01834,,"Tao, Hua Bing; Zhang, Junming; Chen, Jiazang; Zhang, Liping; Xu, Yinghua; Chen, Jingguang G.; Liu, Bin",Revealing Energetics of Surface Oxygen Redox from Kinetic Fingerprint in Oxygen Electrocatalysis,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,"Nanyang Technological University; Columbia University; Chinese Academy of Sciences; Institute of Coal Chemistry, CAS; Zhejiang University of Technology","This work was supported by the funds from the Singapore Ministry of Education Academic Research Fund (AcRF) Tier 1: RG111/15 and RG10/16, Tier 2: MOE2016-T2-2-004, the Foundation of State Key Laboratory of Coal Conversion (Grant J19-20-913-2), and the Nanyang Technological University internal fund. J.C. acknowledges the National Natural Science Foundation of China (Nos. 91545116 and 21773285). Y.X. thanks the support from National Natural Science Foundation of China (21576238). J.G.C. acknowledges support by the US Department of Energy, Basic Energy Science, Catalysis Program (Grant DE-FG02-13ER16381).",0002-7863
